Level,,Title,Provider,Cost,Link,Comments
Beginner,,Crude Oil Distillation Process,Youtube,Free,https://www.youtube.com/watch?v=gYnGgre83CI,This 17-minute video overviews the petroleum refining process.
Beginner,,Wastewater Treatment,Youtube,Free,https://www.youtube.com/watch?v=ZSFdOjxB-1I,This 6-minute video walks through the process of wastewater treatment
Beginner,,Aurora Generator Test Video,Youtube,Free,https://www.youtube.com/watch?v=LM8kLaJ2NDU,Aurora test Lab Footage
Beginner,,Control System Basics,Youtube,Free,https://www.youtube.com/watch?v=VQLRVjEFRGI,This is a great video explaining control system basics including the type of logic these systems use to sense and create physical changes to take action upon.
Beginner,,What is SCADA?,Youtube,Free,https://www.youtube.com/watch?v=bfxr5DikdP0,
Beginner,,Department of Energy – Energy 101,Youtube,Free,https://www.youtube.com/watch?v=l4wldZsR7OY,
Beginner,,Wastewater Treatment Explanation Video,Youtube,Free,https://www.youtube.com/watch?v=ZSFdOjxB-1I,
Beginner,,Waste Water – Flush to Finish,Youtube,Free,https://www.youtube.com/watch?v=pRaptzcp9G4,
Beginner,,Refinery Crude Oil Process,Youtube,Free,https://www.youtube.com/watch?v=gYnGgre83CI,
Beginner,,How a Compressor Station Works,Youtube,Free,https://www.youtube.com/watch?v=-nOhsyuIV3o,
Beginner,,Chemical Engineering YouTube Channel,Youtube,Free,https://www.youtube.com/user/pratheepthavara,
Beginner,,Steel from Start to Finish,Youtube,Free,https://www.youtube.com/watch?v=9l7JqonyoKA,
Beginner,,How It’s Made: Uranium Part 1 ,Youtube,Free,https://www.youtube.com/watch?v=TSza2XH28hs,
Beginner,,How It’s Made: Uranium Part 2,Youtube,Free,https://www.youtube.com/watch?v=n2f7kEeSXYg,
Beginner,,Uranium Mining,Youtube,Free,https://www.youtube.com/watch?v=KqzzapZCXA4,
Beginner,,Nuclear Reactor Explained,Youtube,Free,https://www.youtube.com/watch?v=1U6Nzcv9Vws,
Beginner,,Nuclear Power Station,Youtube,Free,https://www.youtube.com/watch?v=vggzl9OngaM,
Beginner,,Thermal Power Plant,Youtube,Free,https://www.youtube.com/watch?v=IdPTuwKEfmA,
Beginner,,SCADA Utility 101,Youtube,Free,https://www.youtube.com/watch?v=vv2CoTiaWPI,
Beginner,,Electric Generation and Transmission,Youtube,Free,https://www.youtube.com/watch?v=nJ-eBqEnraE,
Beginner,,Chemical Industry Process Equipment,Youtube,Free,https://www.youtube.com/watch?v=2SD7BfdR3Os,
Beginner,,Control Lectures,Youtube,Free,https://www.youtube.com/user/ControlLectures,
Beginner,,Industrial Disaster Explanation Videos,Youtube,Free,https://www.youtube.com/channel/UCXIkr0SRTnZO4_QpZozvCCA,
Beginner,,**How to Set Up a Virtual Machine,Youtube,Free,https://www.youtube.com/watch?v=qLAEgS1oQYQ,
Beginner,,Analyzing Stuxnet (Windows Portion),Youtube,Free,https://www.youtube.com/watch?v=rOwMW6agpTI,
Beginner,,Analyzing Stuxnet (ICS Portion),Youtube,Free,https://www.youtube.com/watch?v=zBjmm48zwQU,
Beginner,,ICS Threat Intelligence: Moving from the Unknowns to a Defended Landscape,Youtube,Free,https://www.youtube.com/watch?v=IvkB90JTRjk&t=,
Beginner,,Network Security Monitoring in ICS 101,Youtube,Free,https://www.youtube.com/watch?v=H6AWRziR028,
Beginner,,S4 Videos,Youtube,Free,https://www.youtube.com/channel/UC5MdLu7ji_eyGiTfigk75lQ,
Beginner,,Defense Will Win,Youtube,Free,https://www.youtube.com/watch?v=t5F93NIDePQ,
Intermediate,,Mitre ATT&CK Framework - ICS Extension,Youtube,Free,https://www.youtube.com/watch?v=QU1ZR0c5x6A,
Beginner,,Difference between DCS and PLC,Youtube,Free,https://www.youtube.com/watch?v=iF99iKlDpxA,
Beginner,,Difference between Profibus and PROFINET,Youtube,Free,https://www.youtube.com/watch?v=YxF9QgRAx8A,
Beginner,,Difference between SCADA and DCS,Youtube,Free,https://www.youtube.com/watch?v=B3YVpgs9RY4,
Beginner,,How to read a P&ID Diagram,Youtube,Free,https://www.youtube.com/watch?v=j4EOTerfyTY,
Beginner,,ICS cabinet/control panel in the field basics,Youtube,Free,https://www.youtube.com/watch?v=lNtmo5dK54o,
Beginner,,Most populate PLC languages,Youtube,Free,https://www.youtube.com/watch?v=Qf32qtHfowQ,
Beginner,,PLC basics,Youtube,Free,https://www.youtube.com/watch?v=PbAGl_mv5XI,
Beginner,,SCADA vs HMI,Youtube,Free,https://www.youtube.com/watch?v=xvVCSYt_YsQ,
Beginner,,Types of sensors,Youtube,Free,https://www.youtube.com/watch?v=J_KoRp8SnoE,
Beginner,,What is a PLC?,Youtube,Free,https://www.youtube.com/watch?v=ReTtgzN-Dmc,
Beginner,,What is a RTU?,Youtube,Free,https://www.youtube.com/watch?v=Ax1jTp2dl9M,
Beginner,,What is a VFD,Youtube,Free,https://www.youtube.com/watch?v=g7jFGOn6xfU,
Beginner,,What is Fieldbus?,Youtube,Free,https://www.youtube.com/watch?v=ndc6at_d7uQ,
Beginner,,What is HART?,Youtube,Free,https://www.youtube.com/watch?v=pXkun-PEiY0,
Beginner,,What is Modbus?,Youtube,Free,https://www.youtube.com/watch?v=PbAGl_mv5XI,
Beginner,,What is SIS?,Youtube,Free,https://www.youtube.com/watch?v=W2YUNnfATBY,
Beginner,,Quick Start Guide: ISA/IEC 62443 Global Automation Cybersecurity Standards,Youtube,Free,https://youtu.be/tCUdZ51oKAg,